state_abbreviation,tax_code,unique_tax_id,tax_name,sub_tax_desc
PA,TAX2238,42-121-1217145-EIT-612203,"Irwin, TWP of - EIT",SCHOOL
PA,TAX6605,42-103-1216966-EIT-522003,"Westfall, TWP of - EIT",MUNICIPAL
PA,TAX6605,42-103-1216966-EIT-522003,"Westfall, TWP of - EIT",SCHOOL
PA,TAX3475,42-001-1215790-EIT-015203,"Mount Joy, TWP of - EIT (015203)",MUNICIPAL
PA,TAX3475,42-001-1215790-EIT-015203,"Mount Joy, TWP of - EIT (015203)",SCHOOL
PA,TAX6355,42-069-1215331-EIT-583003,"Vandling, BORO of - EIT",MUNICIPAL
PA,TAX6355,42-069-1215331-EIT-583003,"Vandling, BORO of - EIT",SCHOOL
PA,TAX6167,42-131-1217277-LST-667503,"Tunkhannock, TWP of - LST (667503)",MUNICIPAL
PA,TAX6167,42-131-1217277-LST-667503,"Tunkhannock, TWP of - LST (667503)",SCHOOL
PA,TAX5065,42-011-1215940-LST-068003,"Penn, TWP of - LST (068003)",MUNICIPAL
PA,TAX5065,42-011-1215940-LST-068003,"Penn, TWP of - LST (068003)",SCHOOL
PA,TAX5386,42-015-1215989-EIT-080503,"Ridgebury, TWP of - EIT",MUNICIPAL
PA,TAX5386,42-015-1215989-EIT-080503,"Ridgebury, TWP of - EIT",SCHOOL
PA,TAX2903,42-001-1214759-LST-015203,"Littlestown, BORO of - LST",MUNICIPAL
PA,TAX2903,42-001-1214759-LST-015203,"Littlestown, BORO of - LST",SCHOOL
PA,TAX1094,42-067-1216579-LST-343603,"Delaware, TWP of - LST (343603)",MUNICIPAL
PA,TAX1094,42-067-1216579-LST-343603,"Delaware, TWP of - LST (343603)",SCHOOL
PA,TAX2038,42-127-1215686-EIT-648703,"Honesdale, BORO of - EIT",MUNICIPAL
PA,TAX2038,42-127-1215686-EIT-648703,"Honesdale, BORO of - EIT",SCHOOL
PA,TAX6353,42-129-1215726-EIT-654403,"Vandergrift, BORO of - EIT",MUNICIPAL
PA,TAX6353,42-129-1215726-EIT-654403,"Vandergrift, BORO of - EIT",SCHOOL
